video_id,FileName,artist,song,album,release_year,sample_rate
5cLFdIzMhn8,Amon Amarth - Crack the Sky,Amon Armath,Crack the Sky,Berserker,2019,44100
m_m2oYJkx1A,"Arch Enemy - Deceiver, Deceiver (OFFICIAL VIDEO)",Arch Enemy,"Deceiver, Deceiver",Deceivers,2022,44100
mjF1rmSV1dM,ARCH ENEMY - The Eagle Flies Alone (OFFICIAL VIDEO),Arch Enemy,The Eagle Flies Alone,Will to Power,2017,44100
O59JNz7rdIU,Architects - A Match Made In Heaven,Archtects,A Match Made In Heaven,All Our Gods have Abandoned Us,2016,44100
-jFgNreZPf0,ASKING ALEXANDRIA - Into The Fire (Official Music Video),Asking Alexandria,Into the Fire,Asking Alexandria,2017,44100
l7Fi8-7HRhc,ASKING ALEXANDRIA - Not The American Average (Official Music Video),Asking Alexandria,Not the American Average,Stand Up and Scream,2009,44100
z71_E_YqWqA,ASKING ALEXANDRIA - The Final Episode (Let's Change The Channel),Asking Alexandria,The Final Episode (Let's Change the Channel),Stand Up and Scream,2010,44100
Ql2THDlBD9g,ASKING ALEXANDRIA - Vultures (Official Music Video),Asking Alexandria,Vultures,Asking Alexandria,2017,44100
W1l6izYwIhM,Attila - Pizza,Attila,Pizza,Pizza,2018,44100
gVC7f59ibI8,Attila - Three 6 (Official Audio Stream),Attila,Three 6,Three 6,2017,44100
HKWqzjQAv14,Behemoth - Ecclesia Diabolica Catholica (Official Video),Behemoth,Ecclesia Diabolica Catholica,I Loved you at your Darkest,2018,44100
UA_j_72psoo,Behemoth - O Father O Satan O Sun! (Official Video),Behemoth,O Father O Satan O Sun!,The Satanist,2014,44100
g7yxjTcM7Bs,Behemoth - Wolves ov Siberia (Official Video),Behemoth,Wolves ov Siberia,I Loved you at your Darkest,2018,44100
C7cczTyQ4iY,"Bring Me The Horizon - Go To Hell, For Heaven's Sake",Bring me the Horizon,"Go to Hell, For Heaven's Sake",Sempiternal,2013,44100
AWggPLXeOkU,BRING ME THE HORIZON - Pray for Plagues,Bring me the Horizon,Pray for Pleagues,Count your Blessings,2006,44100
q2I0ulTZWXA,Bullet For My Valentine - Waking The Demon (Official Video),Bullet for my Valentine,Waking the Demon,Scream Aim Fire,2008,44100
482tDopNzoc,Cannibal Corpse - Evisceration Plague,Cannibal Corpse,Evisceration Plague,Evisceration Plague,2009,44100
vlgiWBCbCJk,Cannibal Corpse - Hammer Smashed Face,Cannibal Corpse,Hammer Smashed Face corpse Hammer,Tomb of the Mutilated,1992,44100
Wks1aBh49sQ,CRADLE OF FILTH - Crawling King Chaos (OFFICIAL MUSIC VIDEO),Cradle of Filth,Crawling King Chaos,Existence is Futile,2021,44100
DNRIaeg6EyY,CRADLE OF FILTH - Heartbreak And Seance (OFFICIAL MUSIC VIDEO),Cradle of Filth,Heartbreak and Seance,Cryptoriana – The Seductiveness of Decay,2017,44100
04F4xlWSFh0,Drowning Pool - Bodies,Drowning Pool,Bodies,Sinner,2001,44100
B4CcX720DW4,Gojira - Amazonia [OFFICIAL VIDEO],Gojira,Amazonia,Fortitude,2021,44100
tvmC7qxtQxs,Gojira - Into The Storm [LYRIC VIDEO],Gojira,Into the Storm,Fortitude,2021,44100
EkRrend3sIw,Gojira - The Chant [OFFICIAL VIDEO],Gojira,The Chant,Fortitude,2021,44100
uJRUq90EC_A,HYPOCRISY - Chemical Whore (OFFICIAL MUSIC VIDEO),Hypocrisy,Chemical Whore,Worship,2021,44100
75xYN7VBiTY,In Flames - Alias,In Flames,Alias,A Sense of Purpose,2008,44100
FC3djB7-nc0,JINJER - Ape (Official Video),Jinjer,Ape,Micro,2019,44100
7f353euyRno,JINJER - Pit Of Consciousness (Official Video),Jinjer,Pit of Consciousness,Macro,2019,44100
2N0ShfOOEq4,Killswitch Engage - The Signal Fire,Killswitch Engage,The Signal Fire,Atonement,2019,44100
Lm-sI1EB8BA,Killswitch Engage - Unleashed,Killswitch Engage,Unleashed,Atonement,2019,44100
lNwHjNz6My4,Lamb of God - Checkmate (Official Video),Lamb of God,Checkmate,Lamb of God,2020,44100
SnEXcv0YJQA,Lamb of God - Nevermore (Official Music Video),Lamb of God,Nevermore,Omens,2022,44100
VHVsG2taJVs,Lamb of God - Omens (Official Music Video),Lamb of God,Omens,Omens,2022,44100
GkoYsXDvL8s,Lamb of God - Wake Up Dead ft. Dave Mustaine (Official Video),Lamb of God,Wake up Dead,Omens,2022,44100
7Na3sECLYI8,Motionless In White - 570 [OFFICIAL VIDEO],Motionless in White,570,Graveyard Shift,2017,44100
Pj2miRJ6bZs,Motionless In White - Another Life [OFFICIAL VIDEO],Motionless in White,Another Life,Disguise,2019,44100
cIEc_11Aydc,Motionless in White - Disguise [OFFICIAL VIDEO],Motionless in White,Disguise,Disguise,2019,44100
TwO0zLLybQ0,Motionless In White - Eternally Yours [OFFICIAL VIDEO],Motionless in White,Eternally Yours,Graveyard Shift,2017,44100
CYG2kaZ5OfQ,Motionless In White - Undead Ahead 2 The Tale of the Midnight Ride,Motionless in White,Undead Ahead 2: The Tale of the Midnight Ride,Disguise,2019,44100
udeaeWGO4Is,Of Mice & Men - Earth & Sky (Official Music Video),Of Mice & Men,Earth & Sky,Earth and Sky,2019,44100
AkFqg5wAuFk,Pantera - Walk (Official Video),Pantera,Walk,Vulgar Display of Power,1992,44100
UpEHp6u0ZxU,Parkway Drive - Absolute Power (Full Album Stream),Parkway Drive,Absolute Power,Reverence,2018,44100
4dBA2YxbFoE,Parkway Drive - Chronos (Full Album Stream),Parkway Drive,Chronos,Reverence,2018,44100
4FTVDKo7kWY,Parkway Drive - I Hope You Rot (Full Album Stream),Parkway Drive,I Hope you Rot,Reverence,2018,44100
WL_8ZY89dP4,Parkway Drive - Prey,Parkway Drive,Prey,Reverence,2018,44100
lP6QplMvOBg,Parkway Drive - Shadow Boxing (Full Album Stream),Parkway Drive,Shadow Boxing,Reverence,2018,44100
5uwyvvxNvqQ,Parkway Drive - Wishing Wells,Parkway Drive,Wishing Wells,Reverence,2018,44100
wLoYIBEZEfw,Slipknot - All Out Life [OFFICIAL VIDEO],Slipknot,All Out Life,We are not your Kind,2019,44100
dymAGwL2kQI,Slipknot - The Chapeltown Rag,Slipknot,The Chapeltown Rag,"The End, so Far",2022,44100
FukeNR1ydOA,SUICIDE SILENCE - Disengage - Performance Cut (OFFICIAL VIDEO),Suicide Silence,Disengage,No Time to Bleed,2009,44100
dWoQyC8_WtM,SUICIDE SILENCE - UNANSWERED,Suicide Silence,Unanswered,The Cleansing,2007,44100
ds9s-pzGD0M,Suicide Silence - You Only Live Once,Suicide Silence,You only live Once,The Black Crown,2011,44100
t2d3EDNDCn8,Wage War - Low (Official Music Video),Wage War,Low,Pressure,2019,44100
lWo1N8Q0t9o,Wage War - Witness (Official Music Video),Wage War,Witness,Deadweight,2017,44100
rbWFZMFlDIU,Whitechapel - I Will Find You (OFFICIAL VIDEO),Whitechapel,I Will Find you,Kin,2021,44100
eVI6c0TlM2g,Whitechapel - The Saw is the Law,Whitechapel,The Saw is the Law,Our Endless War,2014,44100
W72Lnz1n-jw,Whitechapel - When a Demon Defiles a Witch,Whitechapel,When a Demon Defiles a Witch,The Valley,2019,44100
